得意先[    100]-[ 200000] ＊＊ 得意先ﾌﾟﾙｰﾌﾘｽﾄ ＊＊ DATE : 2025/05/22(13:51),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
得意先CD,得意先名ｶﾅ,得意先名,得意先(略),郵便番号,住所1,住所2,E-mail,備考,電話番号,FAX番号,担当者CD,担当者名,請求先CD,売上区分,税区分(売掛),税端数(売掛),税区分(現金),税端数(現金),締ｸﾞﾙｰﾌﾟ,合計請求書,請求明細書,入金予定日,入金方法,単価管理,単価ｸﾞﾙｰﾌﾟ,掛率,金額端数,登録日,最終更新日
20157,ヘイアンサイテンカゴシマヒガシカイカン,平安祭典　鹿児島東会館(即日),平安祭典 鹿児島東会,892-0837,鹿児島市甲突町27-22,,,,,,20,福田,20157,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2014/8/22,2024/9/5
20158,ヘイアンサイテンカゴシマヒガシカイカン,平安祭典　鹿児島東会館(供養品),平安祭典 鹿児島東会,892-0837,鹿児島市甲突町27-22,,,,,,20,福田,20158,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2014/8/22,2024/9/5
20159,ヘイアンサイテンミナミカイカン（ホウヨウ,平安祭典　南会館(法要),平安祭典 南会館(法要,,,,,,,,20,福田,20159,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2014/8/22,2024/9/5
20260,会葬品,伊佐市社会福祉協議会(祭壇貸付事業部),伊佐市社会福祉協議会,895-2701,鹿児島県伊佐市菱刈前目711-1,,,,,,20,福田,20260,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,3 振込,1 個別単価,,,2,2000/5/25,2023/10/2
20263,T.B 4g/30,伊佐市社会福祉協議会　,伊佐市社会福祉協議会,895-2701,鹿児島県伊佐市菱刈前目711-1,,,,,,20,福田,20263,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2008/12/10,2023/10/2
20291,ミヤサコサンギョウ,有限会社　宮迫産業,有限会社　宮迫産業,895-2513,鹿児島県伊佐市上町13番地3,,,,,,20,福田,20291,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,1 現金,1 個別単価,,,2,2000/5/25,2024/9/5
20292,マキオ　Ａ-Ｚスーパーセンターアクネ,（株）マキオ　Ａ-Ｚスｰパｰセンタｰ　阿久根,(株)ﾏｷｵ A-Zｽｰﾊﾟｰｾﾝﾀ-,899-1611,鹿児島県阿久根市赤瀬川2210番地,,,,0996-72-2500,0996-72-2501,20,福田,20292,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,20,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2005/5/21,2024/9/5
20293,マキオ　Ａ-Ｚスーパーセンターカワナベテ,（株）マキオ　Ａ-Ｚスｰパｰセンタｰ　川辺店,（株）マキオＡ-Ｚスｰ,897-0222,鹿児島県南九州市川辺町永田1551,,,,0993-58-3200,,20,福田,20293,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,20,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2005/11/21,2024/9/5
20294,マツモリコウエキシャ,有限会社　まつもり公益社,有限会社　まつもり公,891-3113,鹿児島県西之表市東町7058,,,,,,20,福田,20294,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,20,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2006/2/9,2024/9/5
20297,メモリアルホール　ファミールヒガシミツヤ,メモリアルホール　ファミール東光山,ﾒﾓﾘｱﾙﾎｰﾙ ﾌｧﾐｰﾙ東光山,899-0201,鹿児島県出水市緑町49番31号,,,,0996-63-5561,0996-63-5560,20,福田,20297,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2007/6/20,2024/9/5
20298,マキオ　Ａ-Ｚスーパーセンターハヤト,（株）マキオ　Ａ-Ｚスｰパｰセンタｰ　隼人,（株）マキオ　Ａ-Ｚ,899-5102,鹿児島県霧島市隼人町真孝3677,,,,0995-56-5200,,20,福田,20298,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,20,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2009/4/4,2024/9/5
20299,カンダソウサイ,神田葬祭,神田葬祭,899-0404,出水市高尾野町下高尾野1585-2,,,,,,20,福田,20299,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2016/6/4,2024/9/5
20300,サクラカイカン,さくら会館　株式会社,さくら会館 株式会社,895-2505,鹿児島県伊佐市大口目丸202-1,,,,0995-29-5561,0995-29-5560,20,福田,20300,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2016/10/29,2024/9/5
20301,オオクチグリーンホテル,大口グリーンホテル,大口ｸﾞﾘｰﾝﾎﾃﾙ,895-2511,鹿児島県伊佐市大口里479-1,,,,,,20,福田,20301,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2016/11/17,2024/9/5
20302,イリョウディサービスセンター,井料ディーサービスセンター,井料ディーサービスセ,899-4321,鹿児島県霧島市国分広瀬,2丁目28-8,,,,,20,福田,20302,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2017/8/2,2024/9/5
20303,カゴシマシシャカイフクシキョウギカイ,鹿児島市社会福祉協議会　吉田支部,鹿児島市社会福祉協議,891-1303,鹿児島市本城町1687-2,,,,,,20,福田,20303,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2017/8/2,2024/9/5
20305,ヘイアンサイテンホンブ（クヨウ,平安祭典　本部(供養),平安祭典　本部(供養),,,,,,,,20,福田,20305,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2017/12/16,2024/9/5
20306,ヘイアンサイテンホンブ（ソウエイショウ,平安祭典　本部(葬営消）,平安祭典 本部(葬営消,,,,,,,,20,福田,20306,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2017/12/16,2024/9/5
20307,ヘイアンサイテンホンブ（ソナエモノ,平安祭典　本部(供物　法要),平安祭典　本部(供物,,,,,,,,20,福田,20307,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2017/12/18,2024/9/5
20309,サブクリエイツ,株式会社　サブクリエイツ,株式会社　サブクリエ,252-0311,神奈川県相模原市南区東林間,5-2-1-B,,,,,20,福田,20309,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2020/1/20,2024/9/5
20310,カゴシマエイギョウショコジンゲンキンウリ,鹿児島営業所個人(現金売),鹿児島営業所個人(現,,,,,,,,20,福田,20310,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2020/3/3,2024/9/5
20311,アオゾラキカク,あおぞら企画,あおぞら企画,891-0203,鹿児島市喜入町6128番地1,,,,099-343-5608,099-343-5609,20,福田,20311,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,20,印刷する,印刷する,1ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/5/20,2023/10/2
20312,ヘイアンサイテンチュウザンカイカン（ソク,平安祭典　中山会館(即日),平安祭典　中山会館,892-0837,鹿児島市甲突町27-22,,,,,,20,福田,20312,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2020/11/4,2024/9/5
20313,ヘイアンサイテンチュウザンカイカン（クヨ,平安祭典　中山会館(供養),平安祭典　中山会館(,892-0837,鹿児島市甲突町27-22,,,,,,20,福田,20313,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2021/1/4,2024/9/5
20314,ナリザワチュウザンテン,有限会社　なりざわ中山店,有限会社　なりざわ中,891-0113,鹿児島市東谷山7丁目30番12号,,,,,,20,福田,20314,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2021/2/4,2024/9/5
20315,キュウシュウジョウホウネットワーク,有限会社　九州情報ネットワーク,有限会社　九州情報ネ,890-0034,鹿児島市田上7丁目4番50号,,,,099-814-7710,099-814-7701,20,福田,20315,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2021/2/11,2024/9/5
20316,キュウシュウジョウホウネットワーククシキ,有限会社　九州情報ネットワーク 串木野.北薩,有限会社　九州情報ネ,896-0069,鹿児島県いちき串木野市浜ケ城12113-4,,,,,,20,福田,20315,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2021/2/11,2024/9/5
20317,キュウシュウネットワークホンシャ（タガミ,有限会社　九州情報ネットワーク　本社(田上),有限会社　九州情報ネ,890-0034,鹿児島市田上7丁目4番50号,,,,099-814-7710,099-814-7701,20,福田,20315,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2021/2/11,2024/9/5
20318,キュウシュウジョウホウネットワークキリシ,有限会社　九州情報ネットワーク 霧島,有限会社　九州情報ネ,899-5102,鹿児島県霧島市隼人町真孝1050-15,,,,,,20,福田,20315,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2021/2/11,2024/9/5
20319,キュウシュウジョウホウネットワークミナミ,有限会社　九州情報ネットワーク 南さつま,有限会社　九州情報ネ,897-0004,鹿児島県南さつま市加世田内山田6532-1,,,,,,20,福田,20315,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2021/2/11,2024/9/5
20320,キュウシュウジョウホウネットワークカノヤ,有限会社　九州情報ネットワーク　鹿屋,有限会社　九州情報ネ,893-0007,鹿屋市北田町12番17号,,,,,,20,福田,20315,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2021/2/11,2024/9/5
20321,キュウシュウジョウホウネットワークイブス,有限会社　九州情報ネットワーク　指宿,有限会社　九州情報ネ,,,,,,,,20,福田,20315,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2021/2/11,2024/9/5
20322,アリマコーポレーション,株式会社　アリマコーポレーション,株式会社 ｱﾘﾏｺｰﾎﾟﾚｰｼｮ,890-0072,鹿児島市新栄町20-21,,,,099-253-6119,,20,福田,20322,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2021/2/11,2024/9/5
20323,サカモトエン,桜華会　さかもと園,桜華会　さかもと園,892-0862,鹿児島市坂元町502番地,,,,099-248-5100,,20,福田,20323,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2021/2/11,2024/9/5
20324,ミナミニホンホウソウギョウムカンリブ,南日本放送業務管理部,南日本放送業務管理部,890-0051,鹿児島市高麗町5-25,,,,099-254-7251,,20,福田,20324,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2021/2/11,2024/9/5
20325,ヤマガタヤショウジ,山形屋商事株式会社,山形屋商事株式会社,891-0182,鹿児島市卸本町5番地5,,,,099-260-2741,,20,福田,20325,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2021/2/14,2024/9/5
20326,キクヤクホ,株式会社　キク薬舗,株式会社　キク薬舗,892-0826,鹿児島市呉服町6-6,,,20締日　翌月15日支払,099-226-6110,099-225-1479,20,福田,20326,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,20,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2021/3/4,2024/9/5
20327,ヘイアンサイテンカゴシマヒガシカイカン,平安祭典　鹿児島東会館(供物　法要),平安祭典　鹿児島東会,892-0837,鹿児島市甲突町27-22,,,,,,20,福田,20327,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2021/8/18,2024/9/5
20328,ソウゴンシャ,荘　厳　社,荘　厳　社,899-5121,鹿児島県霧島市隼人町神宮5丁目2-24(鹿児島神宮入口),,,,0995-42-4242,,20,福田,20328,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2022/6/15,2024/9/5
20329,レイメイメディカル,株式会社　れいめいメディカル,株式会社 れいめいﾒﾃﾞ,890-0053,鹿児島市中央町6番地8メディカルプラザ中央1F,,,,099-208-5111,099-208-5110,20,福田,20329,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2023/2/22,2024/9/5
20330,ソウゴウシャテンレイカイカン,荘　厳　社(典礼会館),荘　厳　社(典礼会館),899-5121,鹿児島県霧島市隼人町神宮5丁目2-24(鹿児島神宮入口),,,,0995-42-4242,,20,福田,20330,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2024/7/1,2024/9/5
20331,ｲｯﾊﾟﾝｼｬﾀﾞﾝﾎｳｼﾞﾝ ﾋﾗｶﾜﾔ,一般社団法人　ひらかわ屋,一般社団法人 ひらか,895-1807,鹿児島県薩摩郡さつま町平川7412-1,,,,0996-54-2979,,20,福田,20331,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2025/3/13,2025/3/13
20332,ｶﾌﾞｼｷｶﾞｲｼｬ ﾄ-ﾀﾙｷﾞﾌﾄﾖｺｼｮｳ,株式会社　ト－タルギフト横商,株式会社 ﾄ-ﾀﾙｷﾞﾌﾄ横,891-1305,鹿児島市宮之浦町648番地,,,,099-294-1540,099-294-1789,20,福田,20332,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2025/3/13,2025/3/13
20333,アンノンカブシキガイシャ,安穏株式会社,安穏株式会社,899-0502,鹿児島県出水市野田町下名5222番地3,,,,0996-84-4844,0996-84-4044,20,福田,20333,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2025/4/25,2025/4/25
30100,シブシシヤクショハラダテン,志布志市役所（原田店）,志布志市役所　原田店,899-7402,志布志市有明町野井倉1756,,,,,,430,鈴木,30100,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,3 振込,1 個別単価,,,2,2000/5/25,2024/9/5
30167,シブシワンダイコク（バイテン,志布志湾大黒　売店,志布志湾 大黒(売店),899-7103,志布志市志布志町志布志2-20-2,,,,099-472-3407,,690,金城,30167,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,2 小切手,1 個別単価,,,2,2000/5/25,2024/9/5
30190,ダイコクリゾートホテル,大黒リゾートホテル,大黒ﾘｿﾞｰﾄﾎﾃﾙ,899-7103,志布志市志布志町志布志2-20-2,,,,,,690,金城,30190,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,2 小切手,1 個別単価,,,2,2000/5/25,2024/9/5
30191,ダイワ,株式会社　大和,（株）大和,895-0052,鹿児島県薩摩川内市神田町10-12,,,,,,400,前田,30191,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,20,印刷する,印刷する,1ヶ月後31日払,3 振込,1 個別単価,,,2,2000/5/25,2024/9/5
30276,カゴシマホリグチセイチャ,鹿児島堀口製茶　有限会社,鹿児島堀口製茶(有),899-7503,志布志市有明町蓬原758,,,,099-475-0931,099-475-1976,430,鈴木,30276,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,3 振込,1 個別単価,,,2,2000/5/25,2024/9/5
30324,ヨモギノサト（バイテン,株式会社　蓬の郷（売店）,蓬の郷(売店),899-7503,志布志市有明町蓬原351-3,,,,,,690,金城,30324,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,3 振込,1 個別単価,,,2,2000/5/25,2024/9/5
30325,ヨモギノサト,株式会社　蓬の郷（食堂）,蓬の郷(食堂),899-7503,志布志市有明町蓬原351-3,,,,,,690,金城,30325,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,3 振込,1 個別単価,,,2,2000/5/25,2024/9/5
30329,カノヤグランドホテル,かのやグランドホテル,かのやグランドホテル,893-0005,鹿児島県鹿屋市共栄町12-3,,,,,,400,前田,30329,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後25日払,3 振込,1 個別単価,,,2,2002/2/13,2024/7/31
30331,フェスティバロシャ,株式会社　フェスティバロ社, ㈲ﾌｪｽﾃｨﾊﾞﾛ社,893-0056,鹿児島県鹿屋市上野町1869,,,,,,400,前田,30331,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後20日払,3 振込,1 個別単価,,,2,2002/2/13,2024/9/5
30335,カガヤ,株式会社　加賀屋,(株)加賀屋,926-0175,石川県七尾市和倉町ヨ部80番地,,,,,,95,林(香),30335,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2007/8/31,2024/9/5
30336,ケイセイエン,恵誠園,恵誠園,899-7301,曽於郡大崎町菱田3596,,,,,,439,末永,30336,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2007/8/31,2024/9/5
30338,サツマイモノカントウキョウテン,かごしま遊楽館　さつまいもの館　東京店,かごしま遊楽館　さつ,890-0054,鹿児島市荒田1丁目10-8　パルム荒田1階,,,,099-296-8837,099-296-8857,95,林(香),30338,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2007/8/31,2024/9/5
30346,シキサイカンホリグチシブシテン,四季彩館ほりぐち志布志店,四季彩館ほりぐち志布,899-7402,鹿児島県志布志市有明町野井倉字,上ノ濱8300-1,,,,,690,金城,30346,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2009/6/3,2024/9/5
30349,コウワントオリ,港湾通り,港湾通り,899-7103,志布志市志布志町志布志2丁目1-1,,,,,,690,金城,30349,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2009/12/2,2024/9/5
30352,シキサイカンホリグチ,四季彩館　ほりぐち,四季彩館 ほりぐち,888-0001,宮崎県串間市大字西方3933-1,,,,,,690,金城,30352,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2010/6/27,2024/9/5
30353,シキサイカンホリグチニシハマテン,四季彩館　ほりぐち西浜店,四季彩館 ほりぐち西,888-0012,宮崎県串間市西浜1丁目24-1,,,,,,690,金城,30353,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2010/6/27,2024/9/5
30359,アカ－シャハウスカヤカフェ,AKASHA HOUSE KAYA CAFE,AKASHA HOUSE KAYA CA,249-0007,神奈川県逗子市新宿4-2-2　AKASHA HOUSE KAYA カフェ,,,旧　　　神奈川県逗子市新宿3-12-19グリーンリーフ102,090-1254-2017,,95,林(香),30359,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2011/2/7,2024/11/19
30364,フェスティバロコウベ,株式会社　フェスティバロ神戸菓舎,(有)ﾌｪｽﾃｨﾊﾞﾛ神戸菓舎,893-0056,鹿児島県鹿屋市上野町1869,,,,,,400,前田,30364,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2011/5/25,2024/9/5
30368,ショウワサンギョウ,松和産業　株式会社,松和産業 株式会社,812-0857,福岡県福岡市博多区西月隈1-13-44,,,,,,94,堀口(崇),30368,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2011/12/1,2024/9/5
30371,フェスティバロワフウカシ,株式会社　フェスティバロ和風菓本店,(株)ﾌｪｽﾃｨﾊﾞﾛ和風菓,893-0056,鹿児島県鹿屋市上野町1869,,,,,,400,前田,30371,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2012/11/21,2024/9/5
30372,シブシシカンコウトクサンヒンキョウカイ,志布志市観光特産品協会(生協店),志布志市観光特産品協,899-7104,志布志市志布志町安楽589-2,,,,,,690,金城,30372,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2013/2/5,2024/9/5
30377,シブシシカンコウトクサンヒンキョウカイ,志布志市観光特産品協会　物産振興室,志布志市観光特産品協,899-7103,鹿児島県志布志市志布志町志布志2丁目28-11,,,,,,690,金城,30377,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2015/2/25,2024/9/5
30379,フクヤ,冨久屋,冨久屋,893-0002,鹿児島県鹿屋市本町4-13,,,,0994-43-1211,,400,前田,30379,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2015/6/13,2024/9/5
30381,セルプシブシ,セルプ　しぶし,ｾﾙﾌﾟ しぶし,,,,,,,,439,末永,30381,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2015/6/24,2024/9/5
30382,シブシホーム,志布志ホーム,志布志ﾎｰﾑ,,,,,,,,439,末永,30382,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2015/6/24,2024/9/5
30388,フツハラショウガッコウ,蓬原小学校,蓬原小学校,,,,,,,,439,末永,30388,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2015/7/21,2024/9/5
30391,トオリヤマショウガッコウ,通山小学校,通山小学校,,,,,,,,439,末永,30391,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2015/7/21,2024/9/5
30393,アリアケチュウガッコウ,有明中学校,有明中学校,,,,,,,,439,末永,30393,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2015/7/21,2024/9/5
30396,シブシガッコウキュウショクセンター,志布志市立学校給食センター,志布志市立学校給食セ,,,,,,,,439,末永,30396,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2015/7/21,2024/9/5
30398,シブシチュウガッコウ,志布志中学校,志布志中学校,,,,,,,,439,末永,30398,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2015/7/27,2024/9/5
30400,シブシシチョウシモヒラ,志布志市長　下平晴行,志布志市長　下平晴行,899-7402,志布志市有明町野井倉1756,,,,099-474-1111,,345,瀬口,30400,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2015/10/8,2024/9/5
30402,オオスミハントウノウリンブンカムラ,株式会社　大隅半島農林文化村,株式会社 大隅半島農,893-0053,鹿児島県鹿屋市浜田町1349-1,,,,,,400,前田,30402,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,3 掛率,,0.7,2,2015/12/9,2024/9/5
30406,ルパルドウザフランス,Le parti　du the ﾌﾗﾝｽ,Le parti　du the,,,,,,,,91,下平,30406,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2016/2/8,2024/9/5
